event_type,failure_reason,amount,historical_action,ml_action,historical_net_value,ml_expected_net_value,ml_true_net_value,oracle_net_value
subscription_failure,unknown,747.35,retry,retry,469.79445649750096,151.68764736152087,469.79445649750096,549.9333142275201
payment_failure,technical_failure,2901.89,retry,payment_update,2255.562657562833,597.5581972023889,1880.4977643457512,2255.562657562833
subscription_failure,bank_decline,1011.49,retry,payment_update,503.1061773672332,251.0431289121135,522.0902332181514,522.0902332181514
payment_failure,technical_failure,197.86,retry,personalized_offer,149.66982104461815,31.227348182657963,149.274877708764,151.29252499733602
checkout_abandonment,technical_failure,3193.6,reminder,payment_update,1998.225962555801,836.5337731707623,2254.330714495649,2315.3680933313635
subscription_failure,insufficient_funds,2241.75,reminder,personalized_offer,1299.6677777530426,512.1334253078139,1477.1863347394042,1477.1863347394042
payment_failure,unknown,872.43,retry,payment_update,598.20651171574,205.7265321778135,611.1083700738164,653.2183856280739
payment_failure,insufficient_funds,676.98,payment_update,retry,390.178533015442,185.30603406739087,428.0312456301289,437.2133831745342
checkout_abandonment,unknown,4637.05,personalized_offer,retry,2942.628980593965,798.0373656592894,3101.4541642804857,3297.675264084301
payment_failure,authentication_failure,3590.31,retry,personalized_offer,1928.1557309785924,588.4797939647199,1933.899466182872,2279.484722225442
checkout_abandonment,insufficient_funds,592.88,retry,personalized_offer,395.96881290238673,200.15756250305577,360.51844245892687,428.975328374738
payment_failure,authentication_failure,1355.74,retry,retry,-2.0,368.61509070544963,857.894708557887,873.3627571107994
checkout_abandonment,technical_failure,698.97,no_action,payment_update,0.0,109.8607574992431,428.7147341073949,493.8205526364762
checkout_abandonment,bank_decline,2732.9,payment_update,payment_update,1732.3872140223336,684.4589578966471,1732.3872140223336,1851.287478631722
overdue_invoice,technical_failure,2378.48,retry,reminder,1170.6407130126618,265.31962738366815,1198.2474646300072,1198.2474646300072
overdue_invoice,unknown,442.1,reminder,payment_update,365.177443712859,112.6158152770779,360.7677734573061,365.177443712859
checkout_abandonment,technical_failure,100.0,no_action,payment_update,0.0,7.130300382745865,62.3747903274541,63.92880034987189
payment_failure,unknown,256.11,payment_update,retry,191.87728608179677,39.28205304192822,196.3757894748749,196.3757894748749
payment_failure,insufficient_funds,4456.85,retry,retry,-2.0,958.8493045980938,2928.8966443328927,3031.846411567736
overdue_invoice,insufficient_funds,24541.87,personalized_offer,personalized_offer,-1963.3496,11346.285409414108,12551.646072301912,14825.636248359568
overdue_invoice,insufficient_funds,1554.96,no_action,payment_update,861.4220209451018,379.15490619801824,990.5745963155672,1125.908751066994
overdue_invoice,unknown,411.82,no_action,payment_update,0.0,69.40271192660481,260.9129120216481,260.9129120216481
payment_failure,technical_failure,877.08,no_action,reminder,397.5988416277293,154.97748038121878,604.7259425656407,604.7259425656407
subscription_failure,insufficient_funds,324.97,payment_update,payment_update,223.4560718586632,94.44096713178186,223.4560718586632,226.72681982456575
overdue_invoice,authentication_failure,104.0,personalized_offer,reminder,65.35639424961397,12.95116551724091,69.43183649072179,70.61862142693221
subscription_failure,insufficient_funds,611.65,reminder,reminder,387.7947203224365,157.85674779842745,387.7947203224365,454.50787612201
overdue_invoice,expired_card,416.55,payment_update,payment_update,-1.0,107.77827397312033,265.35177082456,265.35177082456
checkout_abandonment,bank_decline,504.99,personalized_offer,payment_update,350.4449239307673,80.36858861830328,360.7816279272655,374.86656405462384
overdue_invoice,unknown,1529.27,no_action,payment_update,0.0,484.1103066930838,802.6848020853574,868.1927787616053
payment_failure,bank_decline,14311.73,retry,payment_update,8273.056595755668,3015.96970284025,9489.779080128756,9489.779080128756
overdue_invoice,unknown,1631.81,retry,reminder,1279.8120005202488,376.25439041286825,1254.6722940939492,1279.8120005202488
checkout_abandonment,unknown,1764.87,reminder,payment_update,-1.0,456.26406919923335,1076.5743575408028,1094.0547782468225
checkout_abandonment,unknown,662.02,no_action,personalized_offer,308.2872095640336,216.77660450528796,420.3286445723815,430.80554477520855
subscription_failure,authentication_failure,1166.89,retry,reminder,-2.0,378.97116783377516,780.222264657624,916.9147465283752
payment_failure,unknown,203.69,retry,reminder,-2.0,39.62417908740338,102.57554345757974,105.1210958863862
checkout_abandonment,expired_card,443.51,payment_update,payment_update,347.6303869798675,131.53864724079764,347.6303869798675,349.72299217340355
payment_failure,insufficient_funds,700.55,retry,personalized_offer,-2.0,230.41511280147574,425.1450606608957,455.4670927976925
checkout_abandonment,insufficient_funds,1945.8,personalized_offer,payment_update,1353.3329126526587,325.1556116432125,1286.2148022507142,1354.8842500377982
overdue_invoice,insufficient_funds,183.42,retry,reminder,95.0724877662933,33.41805684502844,101.29059146779186,101.29059146779186
checkout_abandonment,unknown,613.35,payment_update,reminder,-1.0,205.92566699038755,456.1986344311029,485.030050194594
checkout_abandonment,technical_failure,569.64,retry,personalized_offer,-2.0,159.27481825211115,271.53447330127636,302.0761634429846
payment_failure,bank_decline,5040.85,reminder,payment_update,-1.0,1368.214315477532,3078.728083699358,3349.8682917329315
overdue_invoice,unknown,657.22,personalized_offer,payment_update,331.1783075571223,145.90763146856182,381.67857972962815,416.01055585426445
overdue_invoice,unknown,3913.66,personalized_offer,payment_update,2136.7663728141706,1059.7247845416773,2387.529102608096,2547.1436195124365
payment_failure,unknown,784.39,retry,reminder,495.6081090273315,244.41574765468266,564.0539939198155,571.841646828227
checkout_abandonment,technical_failure,4219.69,no_action,payment_update,0.0,851.4506259469222,2823.7928067285143,2823.7928067285143
subscription_failure,authentication_failure,583.12,no_action,personalized_offer,0.0,184.34641103258744,428.58429918360287,439.7475412868329
checkout_abandonment,bank_decline,7151.66,no_action,personalized_offer,4235.461078147754,2445.6000570832643,4392.326080051103,5317.538012398017
payment_failure,unknown,495.63,retry,reminder,-2.0,114.37006283473578,148.9463171039542,148.9463171039542
payment_failure,bank_decline,5952.22,payment_update,retry,3957.112469562612,1132.7251447117574,3526.3513707057427,3957.112469562612
payment_failure,authentication_failure,1601.32,no_action,retry,956.0886795377824,398.8988524824226,1187.610451485596,1225.925198684708
payment_failure,unknown,849.83,reminder,personalized_offer,583.1284071100436,146.90859993927296,628.0454954982918,638.6624976590297
checkout_abandonment,insufficient_funds,340.43,personalized_offer,payment_update,264.7633628868625,80.35413993891177,275.95630974328145,275.95630974328145
subscription_failure,bank_decline,929.3,retry,payment_update,661.5383028368448,204.52149097798548,674.153254716626,674.153254716626
subscription_failure,bank_decline,4908.04,personalized_offer,personalized_offer,3607.6492961785902,1094.4001991862651,3607.6492961785902,3908.3996419883424
subscription_failure,expired_card,1558.26,no_action,payment_update,845.0691786426688,409.5280384588947,1228.815414615376,1228.815414615376
payment_failure,expired_card,12502.64,reminder,personalized_offer,8203.787415747198,2498.8019449431104,7955.016772364466,9498.982580366302
payment_failure,authentication_failure,4363.1,no_action,retry,0.0,959.4461782450742,2591.256926234858,3028.500066596828
overdue_invoice,unknown,1969.78,reminder,retry,1349.9787526885805,503.8608240651338,1382.5092267698435,1397.3272693311656
payment_failure,bank_decline,2614.05,payment_update,payment_update,1738.7476578356109,709.8645532921926,1738.7476578356109,1766.0973005489836
overdue_invoice,expired_card,310.33,reminder,payment_update,223.7807966691761,65.99124040057819,248.1851127009228,248.1851127009228
overdue_invoice,authentication_failure,640.07,payment_update,reminder,-1.0,177.88422008117635,454.4658242301688,454.4658242301688
checkout_abandonment,unknown,798.54,no_action,personalized_offer,311.0177482794938,210.9860986632001,386.3866311149693,429.5133016490624
subscription_failure,unknown,654.26,reminder,reminder,505.29089623222126,178.02134640415557,505.29089623222126,523.1917754499519
overdue_invoice,insufficient_funds,661.4,no_action,payment_update,301.33872840635047,141.08675445307588,443.14703474934527,443.14703474934527
subscription_failure,bank_decline,2061.6,personalized_offer,personalized_offer,1129.9367751615664,312.17215763507215,1129.9367751615664,1243.570652411422
checkout_abandonment,expired_card,1738.88,reminder,payment_update,1367.3998773593166,410.6638614495356,1395.672180688912,1395.672180688912
payment_failure,unknown,2365.28,no_action,reminder,1445.6328669109732,539.3707318801578,1814.8156250411064,1898.5121542609616
checkout_abandonment,bank_decline,939.44,reminder,retry,-1.0,277.19989222760125,519.5308752875969,605.1003408151005
payment_failure,bank_decline,17674.31,retry,reminder,10320.639609078444,9043.820372700764,12356.770953870511,12356.770953870511
payment_failure,unknown,1920.79,no_action,personalized_offer,0.0,412.38197068021213,905.7270767753773,913.1683842226612
subscription_failure,bank_decline,1628.14,personalized_offer,reminder,904.0012308751606,522.0895592946166,880.0472144854658,1058.1210833945684
subscription_failure,bank_decline,850.62,reminder,reminder,-1.0,215.1099662824031,591.541939714235,591.541939714235
subscription_failure,insufficient_funds,1602.69,retry,reminder,1151.112779307214,276.2388028969349,1242.0934481902036,1267.3433153663116
subscription_failure,expired_card,1013.42,retry,payment_update,668.9909566548322,192.67695523005682,800.1181842882551,800.1181842882551
payment_failure,bank_decline,11064.56,reminder,personalized_offer,6838.122879292472,2466.2914684629727,7299.0591330850875,7666.609104838091
subscription_failure,bank_decline,4468.22,personalized_offer,personalized_offer,3311.868609771605,469.8516546115408,3311.868609771605,3714.948398261286
overdue_invoice,unknown,1022.4,no_action,personalized_offer,571.2889903257642,151.59292344416397,648.2508030673738,733.6634585621392
subscription_failure,bank_decline,19247.71,reminder,payment_update,-1.0,3913.6082866304305,11835.751154164916,11835.751154164916
subscription_failure,expired_card,6409.24,reminder,payment_update,-1.0,1864.0219719173765,5587.8580616712725,5587.8580616712725
overdue_invoice,expired_card,4348.84,personalized_offer,payment_update,2787.811500007857,1226.6238158133317,3267.321794450037,3331.378778635722
checkout_abandonment,insufficient_funds,148.72,no_action,personalized_offer,0.0,33.51722623343163,75.80127275094308,75.80127275094308
subscription_failure,bank_decline,333.16,reminder,payment_update,-1.0,99.04332356526736,242.5985156764233,242.5985156764233
payment_failure,authentication_failure,478.76,reminder,reminder,274.464177594322,104.45635938544993,274.464177594322,299.6480742360992
checkout_abandonment,authentication_failure,515.56,reminder,payment_update,355.49978813463946,77.92903331526645,379.26274274674114,379.26274274674114
payment_failure,insufficient_funds,876.07,no_action,reminder,0.0,170.99919147240155,481.75864093123965,498.0412639300088
payment_failure,insufficient_funds,309.58,reminder,reminder,239.1368243866621,76.71041667133764,239.1368243866621,254.01553633130152
overdue_invoice,bank_decline,635.96,personalized_offer,reminder,435.1863185103254,194.1266966330136,532.307278509324,532.307278509324
checkout_abandonment,authentication_failure,3782.45,personalized_offer,reminder,2686.1215659926,732.9017367597039,3314.447786657553,3314.447786657553
payment_failure,unknown,2388.68,retry,retry,1602.4700121126066,595.6833643009713,1602.4700121126066,1780.4760381650528
checkout_abandonment,bank_decline,349.87,reminder,payment_update,-1.0,72.65671801450179,261.0260731345354,278.4488908896176
subscription_failure,unknown,11050.54,payment_update,payment_update,8138.800919411507,3246.5594620444767,8138.800919411507,8138.800919411507
payment_failure,technical_failure,1710.02,reminder,reminder,1238.9795149809145,451.3671656730694,1238.9795149809145,1286.7246075258156
payment_failure,authentication_failure,1294.11,retry,reminder,907.1483786144236,251.0791575647611,1006.6011108988636,1006.6011108988636
checkout_abandonment,insufficient_funds,302.28,payment_update,payment_update,188.92674849187185,65.33053576839711,188.92674849187185,201.40110293944272
subscription_failure,unknown,2641.03,payment_update,personalized_offer,1660.0454979446874,850.4951126142396,1309.4372627501248,1660.0454979446874
subscription_failure,insufficient_funds,856.87,personalized_offer,payment_update,-68.5496,174.55765452716372,652.7474175264765,652.7474175264765
payment_failure,insufficient_funds,3603.4,payment_update,reminder,2634.0323277907773,629.0537869781901,2623.469026767741,2634.0323277907773
subscription_failure,authentication_failure,5253.67,retry,payment_update,3516.8169299078386,1175.045788490235,3629.801150189334,3629.801150189334
payment_failure,authentication_failure,4412.86,retry,payment_update,3366.500483791881,1309.5652517541178,3268.520953616651,3366.500483791881
checkout_abandonment,bank_decline,1469.4,retry,retry,-2.0,505.8101201849189,1043.0106480837455,1117.9111031343728
overdue_invoice,unknown,152.19,payment_update,personalized_offer,112.30931201556976,29.93585030934233,110.4319477313495,118.61047694437444
payment_failure,technical_failure,4018.55,no_action,payment_update,0.0,1418.100576275884,2979.438196294586,3089.4422296876714
subscription_failure,unknown,797.73,reminder,personalized_offer,510.7334305568404,200.47488356037292,459.6367103558367,510.7334305568404
payment_failure,unknown,303.41,reminder,personalized_offer,158.8877001150408,106.62848534603883,172.65622051443307,193.61272806266248
checkout_abandonment,expired_card,2341.66,reminder,payment_update,1371.8913995892383,877.6960273225462,1739.795558350016,1739.795558350016
checkout_abandonment,expired_card,3439.29,no_action,reminder,0.0,918.437374495841,1942.265537805618,2429.065118106003
overdue_invoice,expired_card,501.9,retry,reminder,344.9399248225655,78.38331835433837,354.1965039445189,376.04024777108
overdue_invoice,bank_decline,4250.82,reminder,payment_update,2778.499058924032,1090.9867812588145,2463.7066450574075,2778.499058924032
subscription_failure,technical_failure,199.52,payment_update,personalized_offer,127.43294081961685,37.638035198106294,122.45692189148426,128.01619154344394
subscription_failure,insufficient_funds,1042.68,payment_update,personalized_offer,-1.0,289.1176561916205,723.5176229450437,761.8330005164407
payment_failure,bank_decline,703.39,personalized_offer,retry,-56.2712,159.04949078202517,498.037699547014,498.037699547014
checkout_abandonment,technical_failure,1767.42,personalized_offer,retry,-141.39360000000002,306.9891759546777,1059.404097772235,1072.5671581559725
subscription_failure,unknown,6628.06,retry,payment_update,5136.435988765856,2356.616568234198,4936.484638306789,5136.435988765856
checkout_abandonment,unknown,2649.18,reminder,reminder,1761.1428741095629,652.8650851527432,1761.1428741095629,1903.7985584178523
payment_failure,bank_decline,3194.4,retry,payment_update,2375.2830671060315,713.5241491967156,2512.206017818551,2513.923724576143
checkout_abandonment,insufficient_funds,3954.21,reminder,personalized_offer,3082.808931682694,769.7100983064161,2796.642774107042,3082.808931682694
subscription_failure,technical_failure,9725.24,payment_update,payment_update,-1.0,2840.9933001490767,5744.412195511411,6870.871292363926
payment_failure,unknown,413.34,reminder,payment_update,291.3517401912834,107.58587275366165,298.4972365359273,298.4972365359273
checkout_abandonment,authentication_failure,2439.26,reminder,reminder,1484.0667162604748,699.1066807045784,1484.0667162604748,1710.237561051159
payment_failure,bank_decline,1491.87,personalized_offer,payment_update,985.1713008329464,378.27705107231884,1160.4264635978518,1184.7110521069417
checkout_abandonment,expired_card,2366.11,retry,reminder,1789.4040311637327,619.9277158431573,1768.77380353762,1955.3871916238584
overdue_invoice,authentication_failure,1349.91,no_action,personalized_offer,603.4670243654948,447.4181116631522,821.7842224626652,943.4394491428992
subscription_failure,authentication_failure,8452.54,payment_update,reminder,4427.462425457965,2423.8215128274874,4067.871930169747,4427.462425457965
payment_failure,expired_card,322.84,retry,payment_update,225.33724145524204,114.12146109909591,278.24542563233666,278.24542563233666
checkout_abandonment,bank_decline,2051.7,personalized_offer,payment_update,1437.4145752732668,461.2953971137496,1407.1475750970642,1548.1327803969104
checkout_abandonment,bank_decline,1824.2,payment_update,retry,1128.09243380886,399.0032720348807,1172.796715350134,1172.796715350134
subscription_failure,bank_decline,6106.94,reminder,payment_update,3546.621549292743,1640.726074641689,4288.122331370573,4288.122331370573
checkout_abandonment,technical_failure,2683.25,personalized_offer,reminder,1845.6803069513237,763.5929231014235,1923.1754139729237,2135.6554748971294
payment_failure,insufficient_funds,1699.86,retry,payment_update,1059.993403745153,193.22187668475442,1100.6136877546824,1112.4421686665034
payment_failure,bank_decline,6267.36,no_action,personalized_offer,3073.4476538564354,1858.8147824453151,3527.5941577811927,4041.515592119245
payment_failure,insufficient_funds,533.72,retry,payment_update,287.2153711362251,101.5578372222932,331.1611647128911,350.50519288035025
subscription_failure,expired_card,2460.11,no_action,personalized_offer,1246.8504926866044,665.7215155130556,1575.9692358734817,1986.0036849380976
subscription_failure,unknown,11217.02,reminder,payment_update,8330.606702809924,3394.1757036140457,8089.061195546616,8330.606702809924
payment_failure,insufficient_funds,814.52,retry,reminder,-2.0,207.06616275245494,619.9663138538821,619.9663138538821
payment_failure,authentication_failure,8402.69,payment_update,payment_update,4908.66648438182,1899.595016097267,4908.66648438182,4908.66648438182
payment_failure,unknown,4704.64,payment_update,reminder,3476.095687796552,732.723413117465,3157.9745443399684,3476.095687796552
subscription_failure,authentication_failure,4034.36,retry,retry,2879.7363042637,985.0082185817093,2879.7363042637,3113.6333337719325
payment_failure,technical_failure,1936.6,personalized_offer,personalized_offer,1256.942714052348,386.72167842115084,1256.942714052348,1256.942714052348
checkout_abandonment,authentication_failure,4433.33,retry,reminder,2806.6028929419977,1364.9778865696317,3117.291316338533,3181.283516315981
checkout_abandonment,authentication_failure,2421.39,reminder,payment_update,-1.0,391.0201608434695,1627.419627634038,1627.419627634038
subscription_failure,insufficient_funds,736.9,no_action,payment_update,0.0,230.74192961907704,482.85795274601605,482.85795274601605
payment_failure,expired_card,455.49,retry,reminder,-2.0,73.30843248005115,202.3490788679602,287.54983240002895
checkout_abandonment,authentication_failure,6289.08,payment_update,reminder,5011.656176775391,1089.6880747149316,4327.52320346367,5011.656176775391
payment_failure,authentication_failure,1630.67,personalized_offer,reminder,1195.4627617166423,329.08091239191504,1270.9073775691174,1270.9073775691174
checkout_abandonment,authentication_failure,2596.03,payment_update,retry,-1.0,766.6387034555507,1742.903480516108,1742.903480516108
payment_failure,insufficient_funds,1927.81,payment_update,reminder,1275.6106346292554,160.61145535358912,1182.724039238815,1275.6106346292554
payment_failure,bank_decline,11385.8,retry,personalized_offer,-2.0,2824.4212082571494,6509.962110319285,7516.409154707173
subscription_failure,technical_failure,941.45,retry,retry,623.9643687408593,238.7078359747057,623.9643687408593,696.1621405796386
payment_failure,authentication_failure,1541.64,reminder,reminder,1021.1490399640306,369.34928637569936,1021.1490399640306,1022.9898295423803
payment_failure,bank_decline,702.73,payment_update,payment_update,502.5567829219017,99.51208004898865,502.5567829219017,558.6661179648345
payment_failure,insufficient_funds,286.84,payment_update,personalized_offer,-1.0,37.99443646938627,113.16086060943171,113.55972040302755
subscription_failure,expired_card,1214.28,reminder,payment_update,773.6933112118982,297.0446252222375,912.4743279625916,912.4743279625916
payment_failure,authentication_failure,2169.59,no_action,payment_update,1590.2352197886703,339.8960266581603,1599.1884467359428,1764.0661611818798
checkout_abandonment,expired_card,5839.42,reminder,payment_update,4139.1530763902265,1745.701617270012,4648.756237640607,4648.756237640607
checkout_abandonment,unknown,13440.59,reminder,personalized_offer,9315.733184551867,3064.244483248207,8170.394688198945,9357.07202495506
overdue_invoice,expired_card,638.5,payment_update,personalized_offer,475.3935358816892,250.6291681280794,453.3544892900703,475.3935358816892
subscription_failure,expired_card,467.72,reminder,payment_update,-1.0,114.72354145599195,358.35150270610904,368.7106287265044
checkout_abandonment,authentication_failure,1705.31,payment_update,payment_update,1280.9247106369537,395.2987519449076,1280.9247106369537,1280.9247106369537
subscription_failure,bank_decline,5326.08,reminder,reminder,-1.0,761.7496566004893,3309.439316247589,3601.7286109994934
subscription_failure,bank_decline,5090.56,personalized_offer,reminder,-407.24480000000005,790.6624387334589,3204.948567433752,3506.5217937147586
payment_failure,bank_decline,4609.68,payment_update,payment_update,-1.0,539.8630910066731,3282.662580020836,3571.590937987811
overdue_invoice,technical_failure,3028.54,reminder,personalized_offer,1962.2165036805743,741.6230247211964,1846.1532019107533,2248.577552556802
payment_failure,insufficient_funds,254.81,personalized_offer,personalized_offer,172.72378070904,102.30044198834251,172.72378070904,181.54660596809683
subscription_failure,bank_decline,3112.74,payment_update,retry,2201.3166352463004,527.9441140703923,2358.136762209003,2358.136762209003
payment_failure,technical_failure,280.19,reminder,personalized_offer,205.4602900804396,68.4441839197482,174.37911001112,205.4602900804396
payment_failure,technical_failure,915.65,no_action,personalized_offer,398.7798625211547,193.4095808467963,547.1915419001446,629.428400180908
checkout_abandonment,unknown,2906.21,no_action,reminder,1500.8182471980174,872.1477273770796,2003.1420027819847,2055.8474469230955
payment_failure,insufficient_funds,8632.77,no_action,payment_update,5826.698645429256,2245.3609705665704,6530.917190117083,6530.917190117083
payment_failure,technical_failure,604.18,reminder,personalized_offer,-1.0,140.36559362481174,360.2004974591581,436.8529276806053
subscription_failure,insufficient_funds,8717.05,reminder,payment_update,6156.1137811044055,1954.6347576924522,6421.698290666113,6421.698290666113
payment_failure,insufficient_funds,169.35,payment_update,reminder,121.16385721477457,35.16130214209693,111.9272216229568,121.16385721477457
payment_failure,insufficient_funds,349.12,reminder,payment_update,212.37587604152247,59.67302506814785,213.9660447508331,213.9660447508331
subscription_failure,unknown,1218.47,payment_update,payment_update,812.5641813050789,344.56755619872905,812.5641813050789,812.5641813050789
overdue_invoice,technical_failure,2746.44,personalized_offer,personalized_offer,1748.393426304076,943.7238252276337,1748.393426304076,2157.922079314118
subscription_failure,unknown,1169.68,retry,payment_update,811.3642819751298,339.87901768956095,860.4471343832091,860.4471343832091
checkout_abandonment,insufficient_funds,846.78,no_action,payment_update,0.0,330.56887585400904,530.9644064432841,530.9644064432841
payment_failure,technical_failure,539.2,payment_update,personalized_offer,-1.0,99.81864836585609,319.0323894507437,382.42284695631184
payment_failure,expired_card,513.07,reminder,payment_update,-1.0,109.14228925062307,342.9415762797304,342.9415762797304
payment_failure,bank_decline,3692.36,reminder,personalized_offer,2111.6540822948928,1066.798714666684,2362.218369393072,2362.218369393072
checkout_abandonment,insufficient_funds,2183.85,reminder,payment_update,1338.6081840697943,422.39826415955645,1369.6451598000058,1400.4106882887052
checkout_abandonment,insufficient_funds,1522.44,no_action,payment_update,806.9284607814619,460.951204058654,1131.3260092414666,1131.3260092414666
payment_failure,expired_card,732.51,reminder,payment_update,532.1621148227273,176.86103807398814,574.1295334254497,574.1295334254497
payment_failure,unknown,6311.01,retry,payment_update,-2.0,1735.2533759520115,3080.315873039849,3080.315873039849
payment_failure,bank_decline,995.02,retry,retry,-2.0,62.261774395281975,652.6148784267326,652.6148784267326
checkout_abandonment,technical_failure,412.05,payment_update,retry,319.7682159611235,109.12863347008502,304.9676212829568,319.7682159611235
checkout_abandonment,technical_failure,390.16,retry,reminder,-2.0,96.56116517831325,236.444371051048,257.6267737991228
subscription_failure,unknown,3447.67,no_action,personalized_offer,1758.070853739339,622.729604628588,2073.8191161677264,2518.434659529204
checkout_abandonment,bank_decline,911.52,personalized_offer,personalized_offer,538.0489290482633,151.99415910386477,538.0489290482633,541.7024236941129
payment_failure,authentication_failure,4718.2,reminder,retry,3365.844040213832,538.5498337926183,2814.4628304234056,3365.844040213832
subscription_failure,authentication_failure,1132.84,retry,retry,835.2316435502519,313.84272648371524,835.2316435502519,897.5308941129871
checkout_abandonment,technical_failure,2421.46,payment_update,retry,1923.552626906127,685.8996996695251,1946.9568125253056,1946.9568125253056
checkout_abandonment,insufficient_funds,2840.12,no_action,reminder,0.0,769.4687969881272,1859.9610883377943,1901.7656753203423
payment_failure,authentication_failure,1629.37,no_action,reminder,568.2827171351147,350.49142079790374,768.8142969218069,832.4917756160946
overdue_invoice,technical_failure,22573.36,reminder,personalized_offer,17624.562946214137,5664.763556046458,13840.409364334788,17624.562946214137
overdue_invoice,insufficient_funds,205.28,retry,reminder,-2.0,68.11915699998134,145.42334845078165,154.69349506471113
overdue_invoice,expired_card,1019.05,personalized_offer,payment_update,701.8489172535116,297.4784643577693,775.9889601781879,775.9889601781879
subscription_failure,insufficient_funds,439.66,reminder,reminder,142.1462377276154,77.62618691565422,142.1462377276154,167.0536468246435
payment_failure,unknown,2064.54,payment_update,payment_update,-1.0,262.32066321783225,1033.613526611805,1059.644708408454
payment_failure,unknown,1638.09,no_action,reminder,0.0,243.24550646853555,946.2315601657556,981.051186446388
subscription_failure,bank_decline,2319.04,retry,reminder,1513.5376443502162,559.2034182943861,1621.0337165807832,1730.5655517053256
subscription_failure,unknown,2995.87,reminder,payment_update,1485.863124146486,714.9030709240141,1611.4312644827978,1611.4312644827978
checkout_abandonment,bank_decline,286.09,retry,reminder,156.57323004815692,68.78157089978166,161.96175284986737,176.99613684773348
payment_failure,insufficient_funds,1393.6,payment_update,retry,-1.0,496.9498756890834,918.6215483875624,932.46934427386
checkout_abandonment,expired_card,382.85,no_action,payment_update,190.27912167007773,122.02387681673251,298.92087604658497,298.92087604658497
checkout_abandonment,bank_decline,969.04,retry,retry,744.5887871508546,236.73511036746078,744.5887871508546,744.5887871508546
overdue_invoice,insufficient_funds,4113.49,retry,reminder,-2.0,646.0148344214133,2934.8042391022404,2969.4062862385117
checkout_abandonment,expired_card,398.85,retry,personalized_offer,-2.0,86.51845456482602,247.28136285831937,285.96228409940835
payment_failure,expired_card,1365.78,no_action,payment_update,639.8225511419861,397.12594943971555,984.1726935900846,984.1726935900846
checkout_abandonment,technical_failure,1605.4,no_action,personalized_offer,739.3319156583354,311.1853406910002,1007.914052390613,1045.7694939124178
payment_failure,insufficient_funds,398.6,retry,payment_update,263.93561537141784,72.47603608274378,255.71136086249123,274.12560025818715
subscription_failure,bank_decline,3215.92,payment_update,personalized_offer,2427.0701021768846,574.4133458591289,2366.9995596390527,2531.0482886850778
